HT,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT,REB,AST,STL,BLK,TO,DD2,TD3
201,point-guard,34,36.8,33.6,11.4,23.5,48.5,4.0,10.4,38.0,6.8,8.7,77.8,8.1,9.1,1.4,0.6,3.9,21,6
198,point-guard,37,34.5,31.5,11.3,20.3,55.8,1.2,3.5,34.1,7.7,8.6,89.1,5.9,6.4,2.4,0.8,1.9,4,0
191,point-guard,32,35.2,27.7,9.8,20.9,46.9,3.2,8.3,39.0,4.9,6.8,72.2,4.3,5.8,1.6,0.4,2.6,2,0
185,point-guard,36,36.4,27.2,8.4,19.9,42.1,3.3,9.2,35.6,7.2,8.4,85.4,3.0,10.9,1.4,0.2,4.3,24,0
188,point-guard,36,33.2,26.7,8.4,18.9,44.3,4.6,11.4,39.8,5.4,5.8,92.4,4.2,4.8,0.8,0.4,3.0,2,0
188,point-guard,36,37.5,26.1,8.9,19.8,45.1,3.1,8.2,37.6,5.1,5.8,87.1,3.7,6.6,1.0,0.6,1.6,6,0
188,point-guard,38,35.7,25.8,9.1,19.3,46.9,2.8,6.6,42.4,4.9,5.8,83.3,3.8,6.4,1.0,0.2,2.3,2,0
188,point-guard,24,32.9,25.1,9.3,19.4,48.1,3.0,7.0,42.0,3.5,3.9,89.4,5.0,5.3,1.4,0.5,1.6,3,0
188,point-guard,36,35.3,25.1,7.4,17.1,43.1,3.0,8.5,35.3,7.4,8.0,92.0,4.4,6.8,1.1,0.2,2.5,6,0
196,point-guard,33,33.4,23.6,8.4,16.9,49.7,3.4,8.4,40.3,3.4,3.9,86.8,4.2,12.5,1.1,0.7,2.5,26,1
198,point-guard,36,34.5,22.8,8.5,19.0,44.9,1.9,5.6,33.5,3.9,4.5,87.0,4.1,7.3,1.0,0.3,3.8,7,0
193,point-guard,26,30.2,20.5,7.6,16.0,47.2,2.4,5.7,41.6,2.9,3.3,89.4,3.8,6.3,0.9,0.7,1.8,3,0
196,point-guard,41,35.4,18.5,6.6,14.5,45.5,2.9,7.2,40.5,2.4,3.0,82.0,4.4,5.0,0.6,0.3,2.0,2,0
191,point-guard,31,30.1,17.9,6.4,15.2,41.7,1.8,5.7,31.1,3.4,3.9,88.3,3.6,5.3,0.7,0.2,3.0,2,1
183,point-guard,37,37.1,17.3,5.7,14.0,40.5,3.1,7.9,39.2,2.9,3.3,87.6,3.8,8.6,1.1,0.7,1.6,14,0
191,point-guard,41,23.5,16.5,5.6,11.5,48.3,1.3,3.8,35.7,4.1,4.6,89.3,2.6,3.9,0.7,0.2,1.8,1,0
193,point-guard,36,31.8,15.7,5.3,11.2,47.4,2.6,6.3,41.0,2.5,2.8,90.0,4.0,5.0,1.1,1.2,1.6,2,0
191,point-guard,36,29.1,15.4,5.8,12.4,47.1,2.2,5.5,39.4,1.6,2.1,76.0,2.8,6.1,0.8,0.5,1.9,3,0
193,point-guard,30,26.7,14.7,5.3,12.2,43.2,2.1,5.2,41.3,2.1,2.7,77.5,3.3,5.1,0.7,0.1,1.4,4,0
,point-guard,39,31.7,14.6,5.3,11.6,45.4,1.6,4.5,35.8,2.5,2.9,85.1,2.7,6.6,0.9,0.1,1.6,5,0
188,point-guard,38,24.8,13.7,4.7,10.6,43.9,1.3,3.7,34.0,3.1,3.7,83.7,4.3,3.3,0.8,0.4,1.8,2,0
193,point-guard,35,25.9,13.5,4.7,10.4,44.9,1.2,3.9,30.1,3.0,4.0,73.8,3.7,3.5,0.8,0.6,2.2,1,0
196,point-guard,36,30.9,13.4,4.3,11.1,39.0,1.9,6.1,31.5,2.9,3.7,77.4,3.8,6.3,0.8,0.2,1.5,4,0
193,point-guard,36,33.8,12.8,4.9,10.9,45.0,1.8,4.7,39.3,1.2,1.4,80.8,6.4,4.6,0.9,0.8,2.0,6,0
185,point-guard,38,27.9,12.5,5.2,10.0,52.4,1.6,3.7,42.1,0.5,0.7,73.1,2.8,5.6,1.2,0.3,0.9,2,1
188,point-guard,40,23.3,11.9,4.8,10.2,46.6,1.5,3.8,37.9,0.9,1.3,74.0,2.1,4.3,0.6,0.2,1.5,1,0
183,point-guard,37,29.1,11.1,3.7,8.2,45.7,2.4,5.2,45.8,1.3,1.4,94.1,2.7,6.4,0.9,0.1,1.0,3,0
193,point-guard,38,22.9,10.8,4.4,9.6,45.9,0.6,2.3,27.3,1.4,2.2,64.3,5.8,4.5,1.1,0.4,2.2,6,0
185,point-guard,34,24.5,9.2,3.6,7.3,49.8,0.6,2.2,27.0,1.4,1.5,88.5,3.1,4.9,0.8,0.1,1.4,1,0
183,point-guard,32,28.4,9.2,3.1,6.6,46.2,1.9,4.5,43.4,1.1,1.3,83.3,3.6,4.0,1.1,0.4,1.5,1,0
183,point-guard,32,27.6,8.9,3.3,7.7,42.4,1.3,3.7,36.1,1.1,1.3,83.3,3.8,7.2,1.1,0.1,1.2,4,0
